Facility,FiscalYear,ProgramId,ObjectCodeId,CurrentModifiedAmount,PreEncumberedAmount,EncumberedAmount,ExpendedAmount,ProjectedAmount,PriorYearActualAmount,TotalObligated,,,,,,
DCI,2025,5,77,0.00,0.00,0.00,0.00,0.00,2573.77,,,,,,,
DCI,2025,4,77,0.00,0.00,0.00,0.00,0.00,4386.60,,,,,,,
DCI,2025,5,75,0.00,0.00,0.00,0.00,0.00,149.00,,,,,,,
DCI,2025,4,711,66625.00,0.00,0.00,15757.43,0.00,81511.44,,,,,,,
DCI,2025,5,48,3280461.00,0.00,0.00,829339.48,0.00,2887368.31,,,,,,,
DCI,2025,5,64,0.00,0.00,0.00,0.00,0.00,89.00,,,,,,,
DCI,2025,5,731,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
DCI,2025,5,63,0.00,0.00,0.00,0.00,0.00,2071.61,,,,,,,
DCI,2025,5,663,0.00,0.00,0.00,0.00,0.00,11610.30,,,,,,,
DCI,2025,5,724,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
DCI,2025,5,51,10842.00,0.00,0.00,4448.00,0.00,16307.00,,,,,,,
DCI,2025,4,730,0.00,0.00,0.00,0.00,0.00,24284.12,,,,,,,
DCI,2025,5,727,81600.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
DCI,2025,5,56,1777.00,0.00,0.00,0.00,10685.00,0.00,,,,,,,
DCI,2025,4,51,7826.00,0.00,0.00,2732.49,0.00,3612.00,,,,,,,
DCI,2025,54,48,35655.00,0.00,0.00,12535.48,0.00,26170.79,,,,,,,
DCI,2025,4,725,322620.00,0.00,0.00,0.00,0.00,311250.79,,,,,,,
DCI,2025,5,711,0.00,0.00,0.00,0.00,0.00,7413.32,,,,,,,
DCI,2025,5,50,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
DCI,2025,5,57,0.00,0.00,0.00,0.00,0.00,3028.16,,,,,,,
DCI,2025,4,724,25357.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
DCI,2025,5,58,0.00,0.00,0.00,143.00,0.00,512.00,,,,,,,
DCI,2025,5,730,1422.00,0.00,0.00,5204.80,2164.40,12156.12,,,,,,,
DCI,2025,5,85,0.00,0.00,0.00,0.00,0.00,2590.00,,,,,,,
DCI,2025,4,726,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
DCI,2025,5,134,180500.00,0.00,0.00,675.00,0.00,79783.99,,,,,,,
DCI,2025,5,80,0.00,0.00,0.00,0.00,0.00,9211.29,,,,,,,
DCI,2025,4,743,0.00,0.00,0.00,0.00,0.00,3384.00,,,,,,,
DCI,2025,5,803,0.00,0.00,0.00,0.00,0.00,7792.00,,,,,,,
DCI,2025,5,636,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
DCI,2025,5,743,0.00,0.00,0.00,0.00,0.00,615.92,,,,,,,
DCI,2025,4,130,0.00,0.00,8010.00,2670.00,0.00,12365.00,,,,,,,
DCI,2025,5,633,0.00,0.00,0.00,0.00,47364.85,17817.30,,,,,,,
DCI,2025,5,45,12715.00,0.00,0.00,5537.48,0.00,16165.96,,,,,,,
DCI,2025,4,45,0.00,0.00,0.00,436.11,0.00,2989.95,,,,,,,
DCI,2025,5,39,91067.00,0.00,0.00,33194.94,0.00,112437.86,,,,,,,
DCI,2025,5,135,0.00,0.00,11603.70,67075.33,0.00,109800.45,,,,,,,
DCI,2025,5,626,6040.00,0.00,0.00,0.00,0.00,4157.76,,,,,,,
DCI,2025,4,745,9886.00,0.00,0.00,18092.00,0.00,18092.00,,,,,,,
DCI,2025,5,625,0.00,0.00,0.00,0.00,0.00,43823.40,,,,,,,
DCI,2025,5,131,0.00,0.00,164583.20,33594.80,0.00,166237.32,,,,,,,
DCI,2025,4,120,10950.00,0.00,0.00,0.00,0.00,798.15,,,,,,,
DCI,2025,5,141,0.00,0.00,8950.00,1770.00,0.00,98477.18,,,,,,,
DCI,2025,4,698,45959.00,0.00,0.00,0.00,0.00,65808.93,,,,,,,
DCI,2025,5,46,324735.00,0.00,0.00,107623.39,0.00,362177.23,,,,,,,
DCI,2025,5,86,0.00,0.00,0.00,0.00,0.00,4389.06,,,,,,,
DCI,2025,5,88,41286.00,0.00,0.00,21300.90,0.00,92415.51,,,,,,,
DCI,2025,5,130,0.00,0.00,3667.65,1492.95,0.00,4093.60,,,,,,,
DCI,2025,4,742,0.00,0.00,0.00,0.00,0.00,119021.00,,,,,,,
DCI,2025,54,46,3469.00,0.00,0.00,1098.84,0.00,2689.98,,,,,,,
DCI,2025,4,46,13196.00,0.00,0.00,4309.77,0.00,11403.72,,,,,,,
DCI,2025,5,666,0.00,0.00,0.00,0.00,0.00,180043.88,,,,,,,
DCI,2025,5,120,371480.00,0.00,21335.55,25663.07,0.00,120401.82,,,,,,,
DCI,2025,5,664,0.00,0.00,0.00,0.00,0.00,7500.00,,,,,,,
DCI,2025,5,742,0.00,0.00,0.00,0.00,75000.00,28192.54,,,,,,,
DCI,2025,5,128,27500.00,0.00,45884.00,0.00,0.00,18554.79,,,,,,,
DCI,2025,5,112,0.00,0.00,0.00,530.00,0.00,4169.64,,,,,,,
DCI,2025,5,244,0.00,0.00,0.00,0.00,0.00,3447.75,,,,,,,
DCI,2025,5,252,0.00,0.00,0.00,0.00,0.00,97.00,,,,,,,
DCI,2025,5,254,0.00,0.00,0.00,0.00,0.00,16060.19,,,,,,,
DCI,2025,5,233,20000.00,0.00,0.00,7364.45,0.00,16388.39,,,,,,,
DCI,2025,5,293,2997200.00,0.00,375746.81,418316.44,0.00,2529454.08,,,,,,,
DCI,2025,4,756,62050.00,0.00,0.00,0.00,,,,,,,,,
DCI,2025,54,764,15000.00,0.00,654.76,3835.23,0.00,270.45,,,,,,,
DCI,2025,4,2,0.00,0.00,0.00,972.80,2189.00,45601.41,,,,,,,
DCI,2025,5,255,100000.00,0.00,0.00,18303.48,0.00,94609.23,,,,,,,
DCI,2025,5,257,0.00,0.00,0.00,0.00,0.00,1714.01,,,,,,,
DCI,2025,5,283,0.00,0.00,0.00,0.00,0.00,8014.86,,,,,,,
DCI,2025,5,251,0.00,0.00,0.00,0.00,0.00,2266.99,,,,,,,
DCI,2025,5,6,0.00,0.00,0.00,0.00,0.00,18701.97,,,,,,,
DCI,2025,4,256,0.00,0.00,0.00,11.68,0.00,149.12,,,,,,,
DCI,2025,5,7,0.00,0.00,0.00,0.00,0.00,11684.30,,,,,,,
DCI,2025,5,256,324884.00,0.00,14168.80,115400.41,0.00,640578.28,,,,,,,
DCI,2025,5,231,220000.00,0.00,19904.57,83937.28,0.00,318373.20,,,,,,,
DCI,2025,5,295,12000.00,0.00,6702.06,1297.94,0.00,7179.30,,,,,,,
DCI,2025,54,1,240804.00,0.00,0.00,80182.68,187277.00,186953.82,,,,,,,
DCI,2025,4,9,0.00,0.00,0.00,23950.14,68705.86,56588.52,,,,,,,
DCI,2025,5,282,373124.00,0.00,44647.04,20450.91,0.00,234945.21,,,,,,,
DCI,2025,5,243,0.00,0.00,0.00,35.12,0.00,3619.29,,,,,,,
DCI,2025,5,247,0.00,0.00,0.00,18722.37,0.00,55723.60,,,,,,,
DCI,2025,4,225,5050.00,0.00,0.00,742.80,0.00,3450.56,,,,,,,
DCI,2025,5,287,6000.00,0.00,6000.00,0.00,0.00,0.00,,,,,,,
DCI,2025,54,763,45000.00,0.00,17060.18,16140.94,0.00,0.00,,,,,,,
DCI,2025,5,242,0.00,0.00,0.00,2569.50,0.00,16756.30,,,,,,,
DCI,2025,5,245,0.00,0.00,0.00,0.00,0.00,983.08,,,,,,,
DCI,2025,5,241,235000.00,0.00,0.00,135316.01,0.00,422721.78,,,,,,,
DCI,2025,5,3,200000.00,0.00,0.00,134206.78,301966.00,391090.35,,,,,,,
DCI,2025,5,246,0.00,0.00,0.00,0.00,0.00,312.38,,,,,,,
DCI,2025,5,290,0.00,0.00,0.00,0.00,0.00,8095.00,,,,,,,
DCI,2025,5,285,0.00,0.00,0.00,0.00,0.00,-5.70,,,,,,,
DCI,2025,54,2,0.00,0.00,0.00,1330.26,0.00,0.00,,,,,,,
DCI,2025,4,237,0.00,0.00,0.00,0.00,0.00,12.90,,,,,,,
DCI,2025,5,240,0.00,0.00,35460.00,1004.25,0.00,38852.40,,,,,,,
DCI,2025,5,286,0.00,0.00,0.00,0.00,0.00,-124.00,,,,,,,
DCI,2025,4,757,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
DCI,2025,5,239,0.00,0.00,0.00,512.18,0.00,5837.91,,,,,,,
DCI,2025,5,2,1483370.00,0.00,0.00,930306.69,2093191.00,4769555.40,,,,,,,
DCI,2025,5,249,10000.00,0.00,0.00,4350.58,0.00,19983.57,,,,,,,
DCI,2025,5,237,1632716.00,0.00,25079.46,367715.43,0.00,1494349.08,,,,,,,
DCI,2025,5,5,541350.00,0.00,0.00,170014.47,0.00,520630.49,,,,,,,
DCI,2025,5,232,134000.00,0.00,12423.38,27942.25,0.00,184385.51,,,,,,,
DCI,2025,4,241,0.00,0.00,0.00,3844.05,0.00,4311.69,,,,,,,
DCI,2025,4,230,0.00,0.00,0.00,0.00,0.00,357.70,,,,,,,
DCI,2025,5,320,16800.00,0.00,75780.00,21220.00,0.00,20800.00,,,,,,,
DCI,2025,5,229,25000.00,0.00,237.75,1387.64,0.00,8569.84,,,,,,,
